id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype
Q155-P2936-Q32041490-e480c023-0	Q155	'Brazil'@en	P2936	'language used'@en	Q32041490	'Tocantins Asurini'@en	wikibase-item								
Q155-P2936-Q7827518-89e744c6-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7827518	'Torá'@en	wikibase-item								
Q155-P2936-Q5246937-d3c00e28-0	Q155	'Brazil'@en	P2936	'language used'@en	Q5246937	'Tremembé'@en	wikibase-item								
Q155-P2936-Q7847648-4f203e07-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7847648	'Truká'@en	wikibase-item								
Q155-P2936-Q12294279-00f4f0bb-0	Q155	'Brazil'@en	P2936	'language used'@en	Q12294279	'Trumai'@en	wikibase-item								
Q155-P2936-Q3541834-cb0a893e-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3541834	'Tucano'@en	wikibase-item								
Q155-P2936-Q42330115-b7588dd4-0	Q155	'Brazil'@en	P2936	'language used'@en	Q42330115	'Tukumanféd'@en	wikibase-item								
Q155-P2936-Q3542217-27676204-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3542217	'Tuparí'@en	wikibase-item								
Q155-P2936-Q33924-78bd661c-0	Q155	'Brazil'@en	P2936	'language used'@en	Q33924	'Tupiniquim'@en	wikibase-item								
Q155-P2936-Q3542307-bd214aaa-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3542307	'Turiwára'@en	wikibase-item								
Q155-P2936-Q7857204-4dcfc333-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7857204	'Tuxináwa'@en	wikibase-item								
Q155-P2936-Q7857217-21430ded-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7857217	'Tuxá'@en	wikibase-item								
Q155-P2936-Q2520538-51edcf20-0	Q155	'Brazil'@en	P2936	'language used'@en	Q2520538	'Tuyuca'@en	wikibase-item								
Q155-P2936-Q3501858-a863795a-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3501858	'Ucayali–Yurúa Ashéninka'@en	wikibase-item								
Q155-P2936-Q7881740-d11eaf61-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7881740	'Umotína'@en	wikibase-item								
Q155-P2936-Q7901376-cf9333a8-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7901376	'Uru-Pa-In'@en	wikibase-item								
Q155-P2936-Q10266012-b95a17d6-0	Q155	'Brazil'@en	P2936	'language used'@en	Q10266012	'Uru-eu-wau-wau'@en	wikibase-item								
Q155-P2936-Q13893353-16f700c1-0	Q155	'Brazil'@en	P2936	'language used'@en	Q13893353	'Urubú-Kaapor'@en	wikibase-item								
Q155-P2936-Q7901530-934e21ae-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7901530	'Urumi'@en	wikibase-item								
Q155-P2936-Q7960056-c826d799-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7960056	'Waiká'@en	wikibase-item								
Q155-P2936-Q2883738-441977b4-0	Q155	'Brazil'@en	P2936	'language used'@en	Q2883738	'Waimahã'@en	wikibase-item								
Q155-P2936-Q56865-29fc4565-0	Q155	'Brazil'@en	P2936	'language used'@en	Q56865	'Waimiri-Atroarí'@en	wikibase-item								
Q155-P2936-Q56632-2d224b62-0	Q155	'Brazil'@en	P2936	'language used'@en	Q56632	'Waiwai'@en	wikibase-item								
Q155-P2936-Q3573266-1b3abe61-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3573266	'Wajiara'@en	wikibase-item								
